date,GME
2021-01-04,
2021-01-05,4.34250020980835
2021-01-06,4.590000152587891
2021-01-07,4.519999980926514
2021-01-08,4.422500133514404
2021-01-09,4.422500133514404
2021-01-10,4.422500133514404
2021-01-11,4.985000133514404
2021-01-12,4.987500190734863
2021-01-13,7.849999904632568
2021-01-14,9.977499961853027
2021-01-15,8.875
2021-01-16,8.875
2021-01-17,8.875
2021-01-18,8.875
2021-01-19,9.84000015258789
2021-01-20,9.779999732971191
2021-01-21,10.75749969482422
2021-01-22,16.252500534057617
2021-01-23,16.252500534057617
2021-01-24,16.252500534057617
2021-01-25,19.19750022888184
2021-01-26,36.994998931884766
2021-01-27,86.87750244140625
2021-01-28,48.400001525878906
2021-01-29,81.25
2021-01-30,81.25
2021-01-31,81.25
2021-02-01,56.25
2021-02-02,22.5
2021-02-03,23.102500915527344
2021-02-04,13.375
2021-02-05,15.942500114440918
2021-02-06,15.942500114440918
2021-02-07,15.942500114440918
2021-02-08,15.0
2021-02-09,12.577500343322754
2021-02-10,12.800000190734863
2021-02-11,12.774999618530272
2021-02-12,13.100000381469728
2021-02-13,13.100000381469728
2021-02-14,13.100000381469728
2021-02-15,13.100000381469728
2021-02-16,12.3774995803833
2021-02-17,11.484999656677246
2021-02-18,10.172499656677246
2021-02-19,10.147500038146973
2021-02-20,10.147500038146973
2021-02-21,10.147500038146973
2021-02-22,11.5
2021-02-23,11.24250030517578
2021-02-24,22.927499771118164
2021-02-25,27.1825008392334
2021-02-26,25.434999465942383
2021-02-27,25.434999465942383
2021-02-28,25.434999465942383
2021-03-01,30.100000381469727
2021-03-02,29.545000076293945
2021-03-03,31.045000076293945
2021-03-04,33.087501525878906
2021-03-05,34.435001373291016
2021-03-06,34.435001373291016
2021-03-07,34.435001373291016
2021-03-08,48.625
2021-03-09,61.72499847412109
2021-03-10,66.25
2021-03-11,65.0
2021-03-12,66.125
2021-03-13,66.125
2021-03-14,66.125
2021-03-15,55.03499984741211
2021-03-16,52.04249954223633
2021-03-17,52.45249938964844
2021-03-18,50.4375
2021-03-19,50.067501068115234
2021-03-20,50.067501068115234
2021-03-21,50.067501068115234
2021-03-22,48.622501373291016
2021-03-23,45.4375
2021-03-24,30.084999084472656
2021-03-25,45.9375
2021-03-26,45.25
2021-03-27,45.25
2021-03-28,45.25
2021-03-29,45.32500076293945
2021-03-30,48.6150016784668
2021-03-31,47.45500183105469
2021-04-01,47.86249923706055
2021-04-02,47.86249923706055
2021-04-03,47.86249923706055
2021-04-04,47.86249923706055
2021-04-05,46.73749923706055
2021-04-06,46.125
2021-04-07,44.49250030517578
2021-04-08,42.56499862670898
2021-04-09,39.59000015258789
2021-04-10,39.59000015258789
2021-04-11,39.59000015258789
2021-04-12,35.272499084472656
2021-04-13,35.247501373291016
2021-04-14,41.63249969482422
2021-04-15,39.11000061035156
2021-04-16,38.67250061035156
2021-04-17,38.67250061035156
2021-04-18,38.67250061035156
2021-04-19,41.09249877929688
2021-04-20,39.63249969482422
2021-04-21,39.62749862670898
2021-04-22,37.79249954223633
2021-04-23,37.79499816894531
2021-04-24,37.79499816894531
2021-04-25,37.79499816894531
2021-04-26,42.23249816894531
2021-04-27,44.442501068115234
2021-04-28,44.64500045776367
2021-04-29,44.04750061035156
2021-04-30,43.397499084472656
2021-05-01,43.397499084472656
2021-05-02,43.397499084472656
2021-05-03,40.54999923706055
2021-05-04,40.182498931884766
2021-05-05,39.869998931884766
2021-05-06,40.25249862670898
2021-05-07,40.27750015258789
2021-05-08,40.27750015258789
2021-05-09,40.27750015258789
2021-05-10,35.80500030517578
2021-05-11,36.72999954223633
2021-05-12,36.1974983215332
2021-05-13,41.125
2021-05-14,39.97999954223633
2021-05-15,39.97999954223633
2021-05-16,39.97999954223633
2021-05-17,45.150001525878906
2021-05-18,45.16749954223633
2021-05-19,42.20750045776367
2021-05-20,42.622501373291016
2021-05-21,44.1974983215332
2021-05-22,44.1974983215332
2021-05-23,44.1974983215332
2021-05-24,45.00249862670898
2021-05-25,52.35749816894531
2021-05-26,60.63999938964844
2021-05-27,63.532501220703125
2021-05-28,55.5
2021-05-29,55.5
2021-05-30,55.5
